200	0.004143
200	0.000272
200	0.014979
400	0.003143
400	0.000497
400	0.235642
500	0.000335
500	0.000668
500	0.397973
600	0.006242
600	0.000772
600	0.665479
700	0.000284
700	0.002245
700	1.110301
800	0.004201
800	0.000472
800	1.73077
900	0.000777
900	0.000566
900	2.632725
1000	0.007706
1000	0.000731
1000	3.387945
2000	0.032747
2000	0.017805
2000	27.85369
3000	0.081867
3000	0.046175
3000	120.337791
4000	0.200264
4000	0.07373
4000	299.672949
5000	0.126012
5000	0.127243
5000	617.256313
6000	0.2001
6000	0.188686
6000	981.587375
7000	0.24791
7000	0.428604
7000	1516.673092
